date,win_team,lose_team
1/26/2021,F Dickinson,St Francis PA
1/26/2021,Portland St,St Martin's
1/26/2021,Memphis,SMU
1/26/2021,TN Martin,SE Missouri St
1/26/2021,Drake,Missouri St
1/26/2021,SIUE,E Illinois
1/26/2021,Temple,Tulsa
1/26/2021,Indiana St,S Illinois
1/27/2021,Abilene Chr,SF Austin
1/27/2021,Arkansas,Mississippi
1/27/2021,Baylor,Kansas St
1/27/2021,Citadel,Wofford
1/27/2021,Florida,Vanderbilt
1/27/2021,SE Louisiana,Cent Arkansas
1/27/2021,South Carolina,Georgia
1/27/2021,Sam Houston St,TAM C. Christi
1/27/2021,VMI,W Carolina
1/27/2021,Rhode Island,La Salle
1/27/2021,Northwestern LA,New Orleans
1/27/2021,Duquesne,Fordham
1/27/2021,Houston Bap,Incarnate Word
1/27/2021,Nicholls St,McNeese St
1/27/2021,UCF,East Carolina
1/27/2021,Virginia Tech,Notre Dame
1/27/2021,Creighton,Seton Hall
1/27/2021,St John's,DePaul
1/27/2021,Providence,Marquette
1/27/2021,Colorado,Washington St
1/27/2021,St Francis PA,F Dickinson
1/27/2021,Pepperdine,BYU
1/27/2021,James Madison,Towson
1/27/2021,Utah St,UNLV
1/27/2021,Florida St,Miami FL
1/27/2021,NC State,Wake Forest
1/27/2021,Colorado St,Boise St
1/27/2021,Wisconsin,Maryland
1/27/2021,Drake,Missouri St
1/27/2021,Ohio St,Penn St
1/27/2021,UNC Greensboro,Mercer
1/27/2021,Clemson,Louisville
1/27/2021,Kent,Bowling Green
1/27/2021,Merrimack,LIU Brooklyn
1/28/2021,Belmont,Austin Peay
1/28/2021,Morehead St,Jacksonville St
1/28/2021,Murray St,Tennessee St
1/28/2021,Gonzaga,San Diego
1/28/2021,SE Missouri St,SIUE
1/28/2021,Louisiana Tech,Southern Miss
1/28/2021,TN Martin,E Illinois
1/28/2021,UT San Antonio,UTEP
1/28/2021,Weber St,Idaho
1/28/2021,San Diego St,Wyoming
1/28/2021,Arizona St,California
1/28/2021,Stanford,Arizona
1/28/2021,UAB,MTSU
1/28/2021,Fresno St,New Mexico
1/28/2021,San Jose St,Air Force
1/28/2021,SMU,Memphis
1/28/2021,Rutgers,Michigan St
1/28/2021,USC,Oregon St
1/28/2021,Valparaiso,Bradley
1/28/2021,Winthrop,UNC Asheville
1/28/2021,Kansas,TCU
1/28/2021,Houston,Tulane
1/28/2021,LIU Brooklyn,Merrimack
1/29/2021,Cal Baptist,Dixie St
1/29/2021,Cleveland St,WI Green Bay
1/29/2021,Grand Canyon,New Mexico St
1/29/2021,Oakland,PFW
1/29/2021,IUPUI,WI Milwaukee
1/29/2021,North Dakota,W Illinois
1/29/2021,N Kentucky,IL Chicago
1/29/2021,N Dakota St,Missouri KC
1/29/2021,Wright St,Robert Morris
1/29/2021,Detroit,Youngstown St
1/29/2021,South Dakota,NE Omaha
1/29/2021,Coastal Car,Ga Southern
1/29/2021,Arkansas St,UT Arlington
1/29/2021,UC Santa Barbara,UC Davis
1/29/2021,CS Fullerton,CS Bakersfield
1/29/2021,UC Irvine,Hawaii
1/29/2021,Louisiana,Texas St
1/29/2021,Troy,Appalachian St
1/29/2021,Ark Little Rock,ULM
1/29/2021,Illinois,Iowa
1/29/2021,St Peter's,Manhattan
1/29/2021,Bellarmine,Kennesaw
1/29/2021,Longwood,Presbyterian
1/29/2021,Charlotte,Florida Intl
1/29/2021,North Alabama,North Florida
1/29/2021,Liberty,Jacksonville
1/29/2021,Ohio,Buffalo
1/29/2021,Utah Valley,Tarleton St
1/29/2021,Boise St,Colorado St
1/29/2021,Monmouth NJ,Niagara
1/29/2021,UNC Asheville,Winthrop
1/29/2021,FL Gulf Coast,Stetson
1/29/2021,High Point,Gardner Webb
1/29/2021,Campbell,Charleston So
1/29/2021,North Texas,Rice
1/29/2021,Cal Poly,CS Northridge
1/29/2021,Northern Arizona,N Colorado
1/29/2021,NC Central,Carver Bib
1/30/2021,Weber St,Idaho
1/30/2021,Liberty,Jacksonville
1/30/2021,Bellarmine,Kennesaw
1/30/2021,North Florida,North Alabama
1/30/2021,CS Northridge,Cal Poly
1/30/2021,CS Bakersfield,CS Fullerton
1/30/2021,Ga Southern,Coastal Car
1/30/2021,Hawaii,UC Irvine
1/30/2021,UC Santa Barbara,UC Davis
1/30/2021,UT Arlington,Arkansas St
1/30/2021,Louisiana,Texas St
1/30/2021,Troy,Appalachian St
1/30/2021,Ark Little Rock,ULM
1/30/2021,Akron,Ball St
1/30/2021,Southern Univ,Alcorn St
1/30/2021,Austin Peay,Tennessee St
1/30/2021,Baylor,Auburn
1/30/2021,Toledo,Bowling Green
1/30/2021,Northwestern LA,Cent Arkansas
1/30/2021,ETSU,Citadel
1/30/2021,Georgia,Mississippi
1/30/2021,Grambling,Ark Pine Bluff
1/30/2021,Jackson St,MS Valley St
1/30/2021,Texas A&M,Kansas St
1/30/2021,Kent,C Michigan
1/30/2021,Louisiana Tech,Southern Miss
1/30/2021,Texas Tech,LSU
1/30/2021,Miami OH,W Michigan
1/30/2021,Mississippi St,Iowa St
1/30/2021,Missouri,TCU
1/30/2021,Belmont,Murray St
1/30/2021,UNC Greensboro,VMI
1/30/2021,Oklahoma,Alabama
1/30/2021,Oklahoma St,Arkansas
1/30/2021,Gonzaga,Pepperdine
1/30/2021,Prairie View,Alabama A&M
1/30/2021,SE Missouri St,E Illinois
1/30/2021,Tennessee,Kansas
1/30/2021,Morehead St,Tennessee Tech
1/30/2021,TX Southern,Alabama St
1/30/2021,SIUE,TN Martin
1/30/2021,UTEP,UT San Antonio
1/30/2021,Vanderbilt,South Carolina
1/30/2021,Florida,West Virginia
1/30/2021,Wofford,Mercer
1/30/2021,Lamar,McNeese St
1/30/2021,Charlotte,Florida Intl
1/30/2021,Duke,Clemson
1/30/2021,Dayton,Rhode Island
1/30/2021,Abilene Chr,Incarnate Word
1/30/2021,Georgia Tech,Florida St
1/30/2021,Wake Forest,Miami FL
1/30/2021,SE Louisiana,New Orleans
1/30/2021,Virginia Tech,Virginia
1/30/2021,Delaware,Elon
1/30/2021,Hofstra,UNC Wilmington
1/30/2021,William & Mary,Towson
1/30/2021,Binghamton,New Hampshire
1/30/2021,St Francis PA,Central Conn
1/30/2021,Duquesne,St Joseph's PA
1/30/2021,Tulsa,East Carolina
1/30/2021,LIU Brooklyn,St Francis NY
1/30/2021,Purdue,Minnesota
1/30/2021,Sacred Heart,Mt St Mary's
1/30/2021,Arizona,California
1/30/2021,Grand Canyon,New Mexico St
1/30/2021,Wichita St,UCF
1/30/2021,Presbyterian,Longwood
1/30/2021,Cleveland St,WI Green Bay
1/30/2021,Utah,Colorado
1/30/2021,Detroit,Youngstown St
1/30/2021,WI Milwaukee,IUPUI
1/30/2021,Missouri KC,N Dakota St
1/30/2021,Arizona St,Stanford
1/30/2021,Dixie St,Cal Baptist
1/30/2021,N Kentucky,IL Chicago
1/30/2021,Oakland,PFW
1/30/2021,VCU,La Salle
1/30/2021,Bucknell,Lehigh
1/30/2021,Navy,Loyola MD
1/30/2021,St Peter's,Manhattan
1/30/2021,South Dakota,NE Omaha
1/30/2021,Fresno St,New Mexico
1/30/2021,W Illinois,North Dakota
1/30/2021,Wright St,Robert Morris
1/30/2021,San Diego St,Wyoming
1/30/2021,San Jose St,Air Force
1/30/2021,Creighton,DePaul
1/30/2021,Norfolk St,Delaware St
1/30/2021,Georgetown,Providence
1/30/2021,UCLA,Oregon St
1/30/2021,Northern Iowa,S Illinois
1/30/2021,Villanova,Seton Hall
1/30/2021,Tarleton St,Utah Valley
1/30/2021,Penn St,Wisconsin
1/30/2021,Morgan St,Coppin St
1/30/2021,F Dickinson,Bryant
1/30/2021,Notre Dame,Pittsburgh
1/30/2021,Hartford,Stony Brook
1/30/2021,Marist,Siena
1/30/2021,Furman,W Carolina
1/30/2021,Colgate,Holy Cross
1/30/2021,St Bonaventure,George Mason
1/30/2021,Niagara,Monmouth NJ
1/30/2021,Campbell,Charleston So
1/30/2021,Stetson,FL Gulf Coast
1/30/2021,High Point,Gardner Webb
1/30/2021,Lipscomb,Bluefield WV
1/30/2021,Xavier,Butler
1/30/2021,BYU,Pacific
1/30/2021,NC A&T,Florida A&M
1/30/2021,Idaho St,Northwest WA
1/31/2021,New Hampshire,Binghamton
1/31/2021,Delaware,Elon
1/31/2021,Hofstra,UNC Wilmington
1/31/2021,William & Mary,Towson
1/31/2021,Syracuse,NC State
1/31/2021,Ohio St,Michigan St
1/31/2021,Rutgers,Northwestern
1/31/2021,Tulane,Temple
1/31/2021,Central Conn,St Francis PA
1/31/2021,Houston,SMU
1/31/2021,Bucknell,Lehigh
1/31/2021,Loyola-Chicago,Missouri St
1/31/2021,Mt St Mary's,Sacred Heart
1/31/2021,Drake,Illinois St
1/31/2021,Indiana St,Bradley
1/31/2021,Evansville,Valparaiso
1/31/2021,Nevada,UNLV
1/31/2021,S Illinois,Northern Iowa
1/31/2021,UAB,MTSU
1/31/2021,SF Austin,Sam Houston St
1/31/2021,F Dickinson,Bryant
1/31/2021,Washington St,Washington
1/31/2021,Siena,Marist
1/31/2021,Stony Brook,Hartford
1/31/2021,NJIT,UMBC
1/31/2021,Colgate,Holy Cross
1/31/2021,E Washington,CS Sacramento
1/31/2021,St John's,Marquette
1/31/2021,North Texas,Rice
1/31/2021,James Madison,Drexel
1/31/2021,NC A&T,Florida A&M
1/31/2021,UC Riverside,UC San Diego
2/1/2021,Grambling,MS Valley St
2/1/2021,Jackson St,Ark Pine Bluff
2/1/2021,Prairie View,Alabama St
2/1/2021,TX Southern,Alabama A&M
2/1/2021,Texas Tech,Oklahoma
2/1/2021,Miami FL,Duke
2/1/2021,Memphis,UCF
2/1/2021,Loyola-Chicago,Missouri St
2/1/2021,Murray St,SE Missouri St
2/1/2021,Drake,Illinois St
2/1/2021,W Carolina,Citadel
2/1/2021,Louisville,Georgia Tech
2/1/2021,Austin Peay,SIUE
2/1/2021,Florida Intl,FL Memorial
2/1/2021,Wofford,ETSU
2/1/2021,E Washington,CS Sacramento
2/1/2021,Indiana St,Bradley
2/1/2021,Evansville,Valparaiso
2/1/2021,NC Central,S Carolina St
2/1/2021,Stetson,Carver Bib
2/2/2021,Arkansas,Mississippi St
2/2/2021,Georgia,Auburn
2/2/2021,Buffalo,Ball St
2/2/2021,Ohio,C Michigan
2/2/2021,West Virginia,Iowa St
2/2/2021,Kansas,Kansas St
2/2/2021,Kent,Miami OH
2/2/2021,Mississippi,Tennessee
2/2/2021,Baylor,Texas
2/2/2021,Toledo,Akron
2/2/2021,Clemson,North Carolina
2/2/2021,Duquesne,Dayton
2/2/2021,Notre Dame,Wake Forest
2/2/2021,Illinois,Indiana
2/2/2021,Maryland,Purdue
2/2/2021,Wisconsin,Penn St
2/2/2021,Marquette,Butler
2/2/2021,Nevada,UNLV
2/2/2021,Iowa,Michigan St
2/2/2021,E Illinois,SIUE
2/2/2021,E Kentucky,Jacksonville St
2/2/2021,USC,Stanford
2/2/2021,Troy,Spring Hill
2/2/2021,NC Central,S Carolina St
2/2/2021,Morgan St,Coppin St
2/2/2021,UMBC,NJIT
2/3/2021,Alabama,LSU
2/3/2021,South Carolina,Florida
2/3/2021,ETSU,Mercer
2/3/2021,UNC Greensboro,Citadel
2/3/2021,TCU,Oklahoma St
2/3/2021,Chattanooga,W Carolina
2/3/2021,VMI,Wofford
2/3/2021,VCU,Rhode Island
2/3/2021,Massachusetts,Fordham
2/3/2021,Memphis,UCF
2/3/2021,East Carolina,Houston
2/3/2021,Pittsburgh,Virginia Tech
2/3/2021,Wichita St,Tulane
2/3/2021,Georgetown,Creighton
2/3/2021,Seton Hall,Providence
2/3/2021,St John's,Villanova
2/3/2021,Incarnate Word,Lamar
2/3/2021,James Madison,Elon
2/3/2021,SF Austin,TAM C. Christi
2/3/2021,SMU,Tulsa
2/3/2021,La Salle,St Louis
2/3/2021,Virginia,NC State
2/3/2021,Missouri,Kentucky
2/3/2021,W Michigan,Bowling Green
2/3/2021,Delaware St,Lancaster Bib
2/4/2021,Belmont,E Illinois
2/4/2021,Austin Peay,E Kentucky
2/4/2021,E Washington,Idaho
2/4/2021,Morehead St,Murray St
2/4/2021,BYU,Portland
2/4/2021,SIUE,Tennessee St
2/4/2021,SE Missouri St,Tennessee Tech
2/4/2021,Jacksonville St,TN Martin
2/4/2021,Weber St,Montana St
2/4/2021,Montana,Portland St
2/4/2021,Cincinnati,Temple
2/4/2021,Colorado St,Wyoming
2/4/2021,Ohio St,Iowa
2/4/2021,Merrimack,St Francis PA
2/4/2021,Wagner,St Francis NY
2/4/2021,Stanford,California
2/4/2021,Utah,Arizona
2/4/2021,Rutgers,Minnesota
2/4/2021,Oregon St,Washington
2/4/2021,Washington St,Oregon
2/4/2021,Utah St,Fresno St
2/4/2021,F Dickinson,LIU Brooklyn
2/4/2021,Radford,SC Upstate
2/4/2021,Gardner Webb,Presbyterian
2/4/2021,Gonzaga,Pacific
2/5/2021,Cleveland St,Oakland
2/5/2021,North Dakota,Denver
2/5/2021,Detroit,PFW
2/5/2021,IUPUI,WI Green Bay
2/5/2021,Dixie St,Seattle
2/5/2021,Cal Baptist,New Mexico St
2/5/2021,Wright St,IL Chicago
2/5/2021,N Dakota St,Oral Roberts
2/5/2021,Youngstown St,Robert Morris
2/5/2021,South Dakota,S Dakota St
2/5/2021,N Kentucky,WI Milwaukee
2/5/2021,Arkansas St,Louisiana
2/5/2021,South Alabama,Coastal Car
2/5/2021,UT Arlington,ULM
2/5/2021,UC Irvine,CS Bakersfield
2/5/2021,CS Northridge,UC Davis
2/5/2021,Texas St,Ark Little Rock
2/5/2021,Troy,Ga Southern
2/5/2021,Penn St,Maryland
2/5/2021,Louisiana Tech,North Texas
2/5/2021,Old Dominion,Marshall
2/5/2021,Merrimack,St Francis PA
2/5/2021,MTSU,Charlotte
2/5/2021,Nevada,Boise St
2/5/2021,Rice,Southern Miss
2/5/2021,Wagner,St Francis NY
2/5/2021,UAB,UTEP
2/5/2021,Monmouth NJ,Manhattan
2/5/2021,UT San Antonio,Florida Intl
2/5/2021,MA Lowell,New Hampshire
2/5/2021,Radford,SC Upstate
2/5/2021,F Dickinson,LIU Brooklyn
2/5/2021,Bellarmine,Jacksonville
2/5/2021,Akron,Kent
2/5/2021,W Illinois,NE Omaha
2/5/2021,Stetson,Lipscomb
2/5/2021,FL Gulf Coast,North Alabama
2/5/2021,Dayton,George Mason
2/5/2021,Gardner Webb,Presbyterian
2/5/2021,Hawaii,Cal Poly
2/5/2021,Liberty,Lancaster Bib
2/6/2021,Bellarmine,Jacksonville
2/6/2021,UT San Antonio,Florida Intl
2/6/2021,North Texas,Louisiana Tech
2/6/2021,Marshall,Old Dominion
2/6/2021,Portland St,Montana
2/6/2021,UAB,UTEP
2/6/2021,Weber St,Montana St
2/6/2021,Arkansas St,Louisiana
2/6/2021,South Alabama,Coastal Car
2/6/2021,UT Arlington,ULM
2/6/2021,CS Bakersfield,UC Irvine
2/6/2021,UC Davis,CS Northridge
2/6/2021,Texas St,Ark Little Rock
2/6/2021,Ga Southern,Troy
2/6/2021,Ball St,Toledo
2/6/2021,Buffalo,Miami OH
2/6/2021,Citadel,W Carolina
2/6/2021,Wofford,Furman
2/6/2021,Chattanooga,ETSU
2/6/2021,West Virginia,Kansas
2/6/2021,Alabama St,Ark Pine Bluff
2/6/2021,Jackson St,Alcorn St
2/6/2021,Grambling,Southern Univ
2/6/2021,Texas Tech,Kansas St
2/6/2021,Oklahoma,Iowa St
2/6/2021,Oklahoma St,Texas
2/6/2021,Alabama A&M,MS Valley St
2/6/2021,E Washington,Idaho
2/6/2021,Clemson,Syracuse
2/6/2021,Belmont,SIUE
2/6/2021,North Carolina,Duke
2/6/2021,Abilene Chr,Lamar
2/6/2021,E Illinois,Tennessee St
2/6/2021,Murray St,E Kentucky
2/6/2021,Georgia Tech,Notre Dame
2/6/2021,Jacksonville St,SE Missouri St
2/6/2021,Tennessee,Kentucky
2/6/2021,Massachusetts,Rhode Island
2/6/2021,Virginia Tech,Miami FL
2/6/2021,Morehead St,Austin Peay
2/6/2021,Missouri,Alabama
2/6/2021,W Illinois,NE Omaha
2/6/2021,Sam Houston St,Nicholls St
2/6/2021,NC State,Boston College
2/6/2021,TN Martin,Tennessee Tech
2/6/2021,Col Charleston,Towson
2/6/2021,Drexel,Hofstra
2/6/2021,McNeese St,Cent Arkansas
2/6/2021,UCF,Tulsa
2/6/2021,Memphis,East Carolina
2/6/2021,Georgia,Vanderbilt
2/6/2021,Incarnate Word,TAM C. Christi
2/6/2021,Illinois,Wisconsin
2/6/2021,Mississippi,Auburn
2/6/2021,Mississippi St,South Carolina
2/6/2021,Purdue,Northwestern
2/6/2021,Seattle,Dixie St
2/6/2021,Cleveland St,Oakland
2/6/2021,Colorado St,Wyoming
2/6/2021,Colorado,Arizona
2/6/2021,Denver,North Dakota
2/6/2021,Detroit,PFW
2/6/2021,Loyola-Chicago,Evansville
2/6/2021,WI Green Bay,IUPUI
2/6/2021,New Mexico St,Cal Baptist
2/6/2021,Wright St,IL Chicago
2/6/2021,MTSU,Charlotte
2/6/2021,Oral Roberts,N Dakota St
2/6/2021,N Kentucky,WI Milwaukee
2/6/2021,Oregon St,Washington St
2/6/2021,Oregon,Washington
2/6/2021,Rice,Southern Miss
2/6/2021,Youngstown St,Robert Morris
2/6/2021,S Dakota St,South Dakota
2/6/2021,Creighton,Marquette
2/6/2021,Missouri St,Illinois St
2/6/2021,St John's,Providence
2/6/2021,Bradley,S Illinois
2/6/2021,USC,UCLA
2/6/2021,Seton Hall,Connecticut
2/6/2021,Butler,DePaul
2/6/2021,Drake,Valparaiso
2/6/2021,UNLV,Air Force
2/6/2021,Indiana St,Northern Iowa
2/6/2021,St Louis,St Bonaventure
2/6/2021,Michigan St,Nebraska
2/6/2021,Monmouth NJ,Manhattan
2/6/2021,New Hampshire,MA Lowell
2/6/2021,Lipscomb,Stetson
2/6/2021,FL Gulf Coast,North Alabama
2/6/2021,Fordham,La Salle
2/6/2021,W Michigan,C Michigan
2/6/2021,Houston,Our Lady Lake
2/6/2021,Virginia,Pittsburgh
2/6/2021,Hawaii,Cal Poly
2/6/2021,Southern Utah,Benedictine AZ
2/6/2021,Pepperdine,Portland
2/6/2021,Morgan St,Delaware St
2/6/2021,TX Southern,UTRGV
2/6/2021,Tarleton St,SW Adventist
2/7/2021,Col Charleston,Towson
2/7/2021,Hofstra,Drexel
2/7/2021,Indiana,Iowa
2/7/2021,Wichita St,Temple
2/7/2021,Cincinnati,Tulane
2/7/2021,Loyola-Chicago,Evansville
2/7/2021,Nevada,Boise St
2/7/2021,Norfolk St,Coppin St
2/7/2021,Missouri St,Illinois St
2/7/2021,S Illinois,Bradley
2/7/2021,Valparaiso,Drake
2/7/2021,UMBC,Stony Brook
2/7/2021,Quinnipiac,Fairfield
2/7/2021,Stanford,California
2/7/2021,High Point,Hampton
2/7/2021,Villanova,Georgetown
2/7/2021,Northern Iowa,Indiana St
2/7/2021,Loyola MD,Lafayette
2/7/2021,UC San Diego,Bethesda
2/8/2021,MS Valley St,Alabama St
2/8/2021,Grambling,Alcorn St
2/8/2021,Jackson St,Southern Univ
2/8/2021,Kansas,Oklahoma St
2/8/2021,Alabama A&M,Ark Pine Bluff
2/8/2021,Ohio St,Maryland
2/8/2021,SMU,East Carolina
2/8/2021,San Diego St,San Jose St
2/8/2021,UNLV,Air Force
2/8/2021,Colorado,Oregon St
2/8/2021,Furman,UNC Greensboro
2/8/2021,E Kentucky,SIUE
2/8/2021,LIU Brooklyn,St Francis NY
2/8/2021,Abilene Chr,TAM C. Christi
2/8/2021,TN Martin,Austin Peay
2/8/2021,SC Upstate,Gardner Webb
2/8/2021,Gonzaga,BYU
2/8/2021,Mercer,Samford
2/8/2021,UMBC,Stony Brook
2/8/2021,Hampton,High Point
2/8/2021,Fairfield,Quinnipiac
2/8/2021,Coppin St,Norfolk St
2/8/2021,Minnesota,Nebraska
2/8/2021,Florida A&M,NC Central
2/8/2021,Lafayette,Loyola MD
2/8/2021,Youngstown St,Rochester MI
2/9/2021,Kent,Bowling Green
2/9/2021,Texas,Kansas St
2/9/2021,TCU,Iowa St
2/9/2021,West Virginia,Texas Tech
2/9/2021,Notre Dame,Duke
2/9/2021,Arkansas,Kentucky
2/9/2021,Syracuse,NC State
2/9/2021,Auburn,Vanderbilt
2/9/2021,Alabama,South Carolina
2/9/2021,Michigan St,Penn St
2/9/2021,Creighton,Georgetown
2/9/2021,Florida A&M,NC Central
2/9/2021,Butler,St John's
2/9/2021,Tarleton St,McMurry
2/9/2021,VCU,Dayton
2/9/2021,St Bonaventure,La Salle
2/9/2021,James Madison,Elon
2/9/2021,South Alabama,Georgia St
2/9/2021,Southern Utah,San Diego Chr
2/10/2021,Citadel,ETSU
2/10/2021,Old Dominion,Charlotte
2/10/2021,UNC Greensboro,Furman
2/10/2021,W Carolina,VMI
2/10/2021,Chattanooga,Wofford
2/10/2021,Mercer,Samford
2/10/2021,Abilene Chr,Houston Bap
2/10/2021,SF Austin,TAM C. Christi
2/10/2021,Mississippi,Missouri
2/10/2021,Nicholls St,Lamar
2/10/2021,Northwestern LA,Incarnate Word
2/10/2021,St Louis,Rhode Island
2/10/2021,Sam Houston St,SE Louisiana
2/10/2021,George Mason,Fordham
2/10/2021,Indiana,Northwestern
2/10/2021,Iowa,Rutgers
2/10/2021,LSU,Mississippi St
2/10/2021,Tulane,Tulsa
2/10/2021,Wichita St,UCF
2/10/2021,Virginia,Georgia Tech
2/10/2021,San Diego St,San Jose St
2/10/2021,Wake Forest,Boston College
2/10/2021,Providence,Connecticut
2/10/2021,Missouri St,S Illinois
2/10/2021,Bradley,Valparaiso
2/10/2021,Houston,South Florida
2/10/2021,Drake,Northern Iowa
2/10/2021,Villanova,Marquette
2/10/2021,Pepperdine,San Francisco
2/10/2021,Tennessee,Georgia
2/10/2021,Wisconsin,Nebraska
2/11/2021,Georgia St,Ga Southern
2/11/2021,South Alabama,Troy
2/11/2021,ULM,Louisiana
2/11/2021,Texas St,UT Arlington
2/11/2021,Presbyterian,Hampton
2/11/2021,Belmont,E Kentucky
2/11/2021,Jacksonville St,E Illinois
2/11/2021,Austin Peay,TN Martin
2/11/2021,Morehead St,Tennessee St
2/11/2021,Winthrop,Radford
2/11/2021,SIUE,Tennessee Tech
2/11/2021,Idaho St,Idaho
2/11/2021,Montana,Weber St
2/11/2021,E Washington,Montana St
2/11/2021,Merrimack,Central Conn
2/11/2021,Wagner,F Dickinson
2/11/2021,Mt St Mary's,LIU Brooklyn
2/11/2021,Minnesota,Purdue
2/11/2021,St Francis NY,St Francis PA
2/11/2021,Fresno St,Air Force
2/11/2021,Utah,California
2/11/2021,Washington St,UCLA
2/11/2021,Colorado,Stanford
2/11/2021,Oregon,Arizona St
2/11/2021,Arizona,Oregon St
2/11/2021,Boise St,UNLV
2/11/2021,USC,Washington
2/11/2021,Longwood,Gardner Webb
2/11/2021,High Point,Charleston So
2/11/2021,Kansas,Iowa St
2/11/2021,Campbell,SC Upstate
2/11/2021,Pacific,Portland
2/12/2021,Detroit,Cleveland St
2/12/2021,W Illinois,Denver
2/12/2021,IUPUI,IL Chicago
2/12/2021,Missouri KC,NE Omaha
2/12/2021,Utah Valley,Dixie St
2/12/2021,Youngstown St,PFW
2/12/2021,Seattle,New Mexico St
2/12/2021,Robert Morris,Oakland
2/12/2021,WKU,Rice
2/12/2021,WI Green Bay,N Kentucky
2/12/2021,Wright St,WI Milwaukee
2/12/2021,UC Davis,Long Beach St
2/12/2021,CS Bakersfield,UC San Diego
2/12/2021,UC Riverside,UC Irvine
2/12/2021,UC Santa Barbara,Hawaii
2/12/2021,UTEP,Florida Intl
2/12/2021,Merrimack,Central Conn
2/12/2021,Hampton,Presbyterian
2/12/2021,UT San Antonio,FL Atlantic
2/12/2021,Jacksonville,Lipscomb
2/12/2021,Mt St Mary's,LIU Brooklyn
2/12/2021,Louisiana Tech,UAB
2/12/2021,North Texas,Southern Miss
2/12/2021,Winthrop,Radford
2/12/2021,St Francis PA,St Francis NY
2/12/2021,UCF,Tulane
2/12/2021,Iona,Manhattan
2/12/2021,Charleston So,High Point
2/12/2021,Akron,Miami OH
2/12/2021,VCU,St Bonaventure
2/12/2021,Canisius,Quinnipiac
2/12/2021,Marshall,MTSU
2/12/2021,Campbell,SC Upstate
2/12/2021,Clemson,Georgia Tech
2/12/2021,Illinois,Nebraska
2/12/2021,Longwood,Gardner Webb
2/12/2021,Stetson,Kennesaw
2/12/2021,Liberty,North Florida
2/12/2021,Bellarmine,North Alabama
2/12/2021,Arkansas St,Ark Little Rock
2/12/2021,Portland St,Simpson CA
2/12/2021,Cincinnati,Temple
2/12/2021,Murray St,SE Missouri St
2/12/2021,MA Lowell,SUNY Albany
2/12/2021,Buffalo,W Michigan
2/13/2021,Lipscomb,Jacksonville
2/13/2021,Marshall,MTSU
2/13/2021,UT San Antonio,FL Atlantic
2/13/2021,Idaho St,Idaho
2/13/2021,Weber St,Montana
2/13/2021,E Washington,Montana St
2/13/2021,UC Davis,Long Beach St
2/13/2021,CS Bakersfield,UC San Diego
2/13/2021,UC Irvine,UC Riverside
2/13/2021,UC Santa Barbara,Hawaii
2/13/2021,ETSU,Wofford
2/13/2021,Furman,W Carolina
2/13/2021,Kent,N Illinois
2/13/2021,UNC Greensboro,Mercer
2/13/2021,Old Dominion,Charlotte
2/13/2021,Chattanooga,Citadel
2/13/2021,Bowling Green,Toledo
2/13/2021,VMI,Samford
2/13/2021,Oklahoma,West Virginia
2/13/2021,Alabama St,Alabama A&M
2/13/2021,Southern Univ,Ark Pine Bluff
2/13/2021,TX Southern,Grambling
2/13/2021,Kansas,Iowa St
2/13/2021,Louisiana Tech,UAB
2/13/2021,Alcorn St,MS Valley St
2/13/2021,Louisiana,ULM
2/13/2021,Oklahoma St,Kansas St
2/13/2021,North Texas,Southern Miss
2/13/2021,Texas,TCU
2/13/2021,Loy Marymount,Pacific
2/13/2021,Pepperdine,St Mary's CA
2/13/2021,Gonzaga,San Francisco
2/13/2021,Arkansas St,Ark Little Rock
2/13/2021,Texas St,UT Arlington
2/13/2021,South Alabama,Troy
2/13/2021,Sam Houston St,Cent Arkansas
2/13/2021,Belmont,Morehead St
2/13/2021,Duke,NC State
2/13/2021,Abilene Chr,TAM C. Christi
2/13/2021,Tennessee Tech,E Illinois
2/13/2021,E Kentucky,Tennessee St
2/13/2021,Florida St,Wake Forest
2/13/2021,Houston Bap,Lamar
2/13/2021,Arkansas,Missouri
2/13/2021,Jacksonville St,SIUE
2/13/2021,Kentucky,Auburn
2/13/2021,Austin Peay,SE Missouri St
2/13/2021,Murray St,TN Martin
2/13/2021,Virginia,North Carolina
2/13/2021,Nicholls St,SE Louisiana
2/13/2021,Northwestern LA,McNeese St
2/13/2021,Oral Roberts,S Dakota St
2/13/2021,St Louis,Fordham
2/13/2021,Col Charleston,Elon
2/13/2021,James Madison,Hofstra
2/13/2021,Northeastern,Towson
2/13/2021,Alabama,Georgia
2/13/2021,Ohio St,Indiana
2/13/2021,Iowa,Michigan St
2/13/2021,Vanderbilt,Mississippi St
2/13/2021,Mississippi,South Carolina
2/13/2021,Rutgers,Northwestern
2/13/2021,California,Colorado
2/13/2021,UCLA,Washington
2/13/2021,New Mexico St,Seattle
2/13/2021,Cleveland St,Detroit
2/13/2021,W Illinois,Denver
2/13/2021,UTEP,Florida Intl
2/13/2021,IUPUI,IL Chicago
2/13/2021,Missouri KC,NE Omaha
2/13/2021,Oregon,Arizona
2/13/2021,Dixie St,Utah Valley
2/13/2021,Youngstown St,PFW
2/13/2021,LSU,Tennessee
2/13/2021,Boise St,UNLV
2/13/2021,North Dakota,South Dakota
2/13/2021,N Kentucky,WI Green Bay
